变量,系数,标准误,t 值,p 值
const,7.72087566679001,0.09867931853691464,78.24208538592342,0.0
孕周_数值,0.5129955232228252,0.09981412510101874,5.139508288066829,3.2702877827972543e-07
孕妇BMI,-0.12010484045350023,0.18037343265681993,-0.6658676872996743,0.5056385281578217
年龄,-0.3731258564879412,0.09900921648844431,-3.768597204599533,0.00017308846312391601
体重,-0.5534333104235705,0.18006355434423482,-3.073544296285241,0.0021686252676864637
IVF_数值,0.0,0.0,,
